scenario,lam,baseline,penalised,opportunistic
attack,0.0,497582.64311767847,497582.64311767847,497582.64311767847
attack,0.15,497582.64311767847,480011.06338870997,512316.28432914434
attack,0.3,497582.64311767847,463337.2472347384,527999.0741896699
attack,0.45,497582.64311767847,447057.87606553274,544984.5983703871
attack,0.6,497582.64311767847,431386.81392060546,566107.1093985788
attack,0.8,497582.64311767847,412860.3068060774,604265.4225217792
attack,1.0,497582.64311767847,396602.18547905475,651972.3865647572
clean,0.0,485145.3558452963,485145.3558452963,485145.3558452963
clean,0.15,485145.3558452963,468003.68251465226,503552.1743754215
clean,0.3,485145.3558452963,451739.06774944416,522491.57110273966
clean,0.45,485145.3558452963,435888.1957674451,543114.0127443849
clean,0.6,485145.3558452963,420653.066825713,569522.151385944
clean,0.8,485145.3558452963,402798.796320889,614515.195945065
clean,1.0,485145.3558452963,387220.4869824209,669355.8358372899
