timestep,gradcam
0,0.50006026
1,0.854486
2,0.5471097
3,0.42584917
4,0.42022344
5,0.497576
6,0.685134
7,0.5635143
8,0.54323894
9,0.4677858
10,0.27928862
11,0.4151014
12,0.45159966
13,0.5200783
14,0.6679334
15,0.10355756
16,0.22346516
17,0.19865595
18,0.3870092
19,0.2327991
20,0.2564444
21,0.51042104
22,0.13543908
23,0.016238077
24,0.12778424
25,0.026669117
26,0.02698505
27,0.014207236
28,0.11705772
29,0.011254204
30,0.010003304
31,0.031400394
32,0.03464381
33,0.025449142
34,0.20309329
35,0.24877277
36,0.1519116
37,0.10786242
38,0.04292369
39,0.073320776
40,0.16043037
41,0.041471872
42,0.31326237
43,0.5868653
44,0.4631382
45,0.3242262
46,0.35610354
47,0.18528208
48,0.30070177
49,0.36401513
50,0.3175409
51,0.20710889
52,0.07922698
53,0.25289568
54,0.18638234
55,0.13911748
56,0.16656192
57,0.14743753
58,0.06954993
59,0.07778671
60,0.0897812
61,0.10607864
62,0.17548244
63,0.11302782
64,0.098779306
65,0.10915869
66,0.0075984653
67,0.031027079
68,0.24165882
69,0.1897307
70,0.074328974
71,0.0738022
72,0.10713023
73,0.087549195
74,0.15000778
75,0.15250972
76,0.232454
77,0.15139818
78,0.058854587
79,0.08802362
80,0.08572785
81,0.09017777
82,0.10060442
83,0.16898264
84,0.14575887
85,0.07388515
86,0.06327687
87,0.10614395
88,0.14473088
89,0.038083848
90,0.03727923
91,0.052620485
92,0.12769416
93,0.102559835
94,0.09394745
95,0.060063563
96,0.07387761
97,0.0694193
98,0.07888459
99,0.073887095
100,0.06194105
101,0.06025034
102,0.0806974
103,0.08115167
104,0.1227389
105,0.07928265
106,0.07391436
107,0.04455807
108,0.16712014
109,0.15498026
110,0.021603694
111,0.06567972
112,0.07162633
113,0.1826028
114,0.13618197
115,0.123379216
116,0.12994416
117,0.16842996
118,0.17479831
119,0.11068542
120,0.09513037
121,0.14738098
122,0.1604921
123,0.06971251
124,0.048757035
125,0.07991947
126,0.08081691
127,0.08673825
128,0.039938547
129,0.19131036
130,0.18263344
131,0.050131
132,0.16849473
133,0.1872
134,0.15764123
135,0.15532951
136,0.20964126
137,0.19534583
138,0.02685516
139,0.19115157
140,0.039389838
141,0.1748517
142,0.0839979
143,0.06471699
144,0.03494952
145,0.04742761
146,0.058826197
147,0.05984198
148,0.10834778
149,0.050688893
150,0.07494947
151,0.05444916
152,0.13490012
153,0.091089204
154,0.046434764
155,0.066239156
156,0.050070476
157,0.15453053
158,0.025238328
159,0.17892905
160,0.13362433
161,0.0826406
162,0.01775324
163,0.08962843
164,0.051576808
165,0.015981406
166,0.06324673
167,0.053526253
168,0.058019597
169,0.035354238
170,0.029337324
171,0.043774813
172,0.035299473
173,0.09163009
174,0.033797856
175,0.048969142
176,0.041713208
177,0.14093965
178,0.041753475
179,0.07542288
180,0.06475807
181,0.08472519
182,0.03367231
183,0.096580625
184,0.124407195
185,0.14880928
186,0.12822956
187,0.060028855
188,0.12010539
189,0.107914574
190,0.16164552
191,0.26512665
192,0.19540372
193,0.22270209
194,0.110860415
195,0.18465495
196,0.29587245
197,0.2691584
198,0.15470155
199,0.072443865
200,0.23230486
201,0.14831305
202,0.17232798
203,0.022352166
204,0.093082584
205,0.038448907
206,0.08522834
207,0.1384819
208,0.036513552
209,0.051561926
210,0.030416373
211,0.019690886
212,0.19998887
213,0.08471728
214,0.2570685
215,0.77523255
216,1.0
217,0.23818184
218,0.037032858
219,0.03578756
220,0.07749492
221,0.034914296
222,0.044707917
223,0.018158164
224,0.01751404
225,0.17145626
226,0.12693213
227,0.03306781
228,0.21261749
229,0.09823393
230,0.07082783
231,0.032063972
232,0.017608939
233,0.10368314
234,0.08252581
235,0.15477334
236,0.049678143
237,0.073556915
238,0.031968098
239,0.03244732
240,0.04593132
241,0.09473674
242,0.06617868
243,0.027471578
244,0.006112533
245,0.0515355
246,0.115740195
247,0.08761848
248,0.03414324
249,0.009587095
250,0.025610918
251,0.037777636
252,0.003897067
253,0.053011212
254,0.035334837
255,0.01744929
256,0.0
257,0.058444723
258,0.049590774
259,0.035461
260,0.035939783
261,0.039182127
262,0.08963594
263,0.08943702
264,0.006688476
265,0.018242434
266,0.20883897
267,0.07241721
268,0.059987277
269,0.06767987
270,0.014925492
271,0.10344883
272,0.02198523
273,0.022244973
274,0.025686847
275,0.039041933
276,0.03501382
277,0.099525996
278,0.1826811
279,0.14815299
280,0.3923606
281,0.1341058
