magnitude,duration_hr,detection_rate,opp_profit_K,base_profit_K,improvement_pct
1.5,2,0.0805,512.5,489.8,4.63
1.5,3,0.0769,514.2,491.1,4.7
1.5,6,0.038,515.5,492.5,4.67
2.0,2,0.069,523.5,499.8,4.74
2.0,3,0.0673,526.6,502.5,4.8
2.0,6,0.0443,530.3,505.8,4.85
3.0,2,0.0805,552.8,526.6,4.98
3.0,3,0.0577,557.0,531.4,4.82
3.0,6,0.038,565.0,538.6,4.9
5.0,2,0.069,613.0,582.7,5.2
5.0,3,0.0577,622.6,592.0,5.17
5.0,6,0.0316,639.6,607.7,5.25
8.0,2,0.0575,705.5,667.7,5.68
8.0,3,0.0481,723.2,683.9,5.75
8.0,6,0.0316,755.9,713.7,5.91
